Fenology	Rmax	M	Gamma	GenTime	MutRate	alpha	P	Kpftfactor	randomTrend	islandSide	Growth	Mrecruit	Germ	Mseed	Annual	Mass	Lineage	MotherspID	optimalAltitude	MassSeedling	MassSeed	KpftfactorSeedling	generalist	verticalgeneralist	speciesType	yearOfSpec
127	3.23882	0.113359	-0.287	0.335	2.15921e-014	0.04901	0.81	0.00243136	0.36	3	0.113976	0.113976	0.27591	0.27591	0	12000	17	0	0	2400	0.234947	0.000607839	3	7	0	0
5999	3.73836	0.130843	-0.15	0.917	2.49224e-014	0.04501	0.66	0.000344561	0.22	2	0.131555	0.131555	0.220768	0.220768	0	640	18	0	7	128	0.0542586	8.61403e-005	1	5	0	0
10398	3.47218	0.121526	-0.025	0.936	2.31478e-014	0.00701	0.75	0.000419569	0.26	4	0.122188	0.122188	0.212763	0.212763	1	860	19	0	7	172	0.0628967	0.000104892	1	2	0	0
12176	0.336925	0.0117924	708	0.468	2.24617e-015	0.04201	0.54	0.978895	0.65	2	0.0118566	0.0118566	0.109389	0.109389	0	9.7e+006	20	0	7	1.94e+006	0.900171	0.244724	2	1	0	0
18913	0.641443	0.0224505	-0.957	0.964	4.27628e-015	0.04101	0.4	0.822232	0.49	2	0.0225727	0.0225727	0.428061	0.428061	0	7.8e+006	21	0	0	1.56e+006	0.040552	0.205558	1	5	0	0
9460	7.88592	0.276007	-0.707	0.656	5.25728e-014	0.01401	0.37	9.3189e-005	0.28	1	0.27751	0.27751	0.364431	0.364431	1	90	22	0	4	18	0.020347	2.32973e-005	3	7	0	0
18139	0.630678	0.0220737	-0.296	0.787	4.20452e-015	0.01001	0.9	0.298715	0.25	4	0.0221939	0.0221939	0.306717	0.306717	0	2.2e+006	23	0	4	440000	0.040552	0.0746788	4	1	0	0
28997	1.74523	0.0610832	-0.391	0.495	1.16349e-014	0.00501	0.84	0.00330281	0.96	3	0.0614158	0.0614158	0.157464	0.157464	0	19000	24	0	6	3800	0.295635	0.000825703	3	3	0	0
21833	1.12877	0.0395068	-0.343	0.422	7.5251e-015	0.01501	0.69	0.00839463	0.77	3	0.0397219	0.0397219	0.0647095	0.0647095	0	77000	25	0	7	15400	7.35095	0.00209866	3	5	0	0
15078	0.835551	0.0292443	-0.903	0.527	5.57034e-015	0.02601	0.39	0.158971	0.26	1	0.0294035	0.0294035	0.342102	0.342102	0	1e+006	26	0	3	200000	0.036693	0.0397428	2	2	0	0
27266	4.99305	0.174757	-0.32	0.9	3.3287e-014	0.00901	0.72	0.000315216	0.34	4	0.175708	0.175708	0.289983	0.289983	0	560	27	0	4	112	0.0507543	7.88041e-005	3	6	0	0
8647	2.07127	0.0724943	-0.964	0.827	1.38084e-014	0.04301	0.97	0.00515027	0.89	3	0.0728889	0.0728889	0.203116	0.203116	0	37000	28	0	2	7400	0.412553	0.00128757	4	5	0	0
25042	0.601056	0.021037	-0.02	0.725	4.00704e-015	0.00801	0.64	0.265657	0.59	2	0.0211515	0.0211515	0.236552	0.236552	0	1.9e+006	29	0	5	380000	0.0816617	0.0664143	3	2	0	0
17820	1.3031	0.0456086	914	0.364	8.68736e-015	0.01301	0.92	0.00903656	0.96	4	0.0458569	0.0458569	0.303739	0.303739	0	86000	30	0	5	17200	0.0300417	0.00225914	3	2	0	0
23263	9.24419	0.323547	976	0.609	6.16279e-014	0.04101	0.79	0.000119075	0.36	2	0.325308	0.325308	0.447296	0.447296	0	130	31	0	1	26	0.024454	2.97688e-005	2	5	0	0
6886	6.04328	0.211515	-0.516	0.398	4.02885e-014	0.03601	0.71	0.000460847	0.71	3	0.212666	0.212666	0.376886	0.376886	0	990	32	0	0	198	0.0674833	0.000115212	4	1	0	0
27522	1.07673	0.0376854	859	0.595	7.17818e-015	0.01001	0.6	0.00952045	0.29	2	0.0378906	0.0378906	0.127092	0.127092	0	93000	33	0	7	18600	0.494024	0.00238011	4	1	0	0
31815	5.62243	0.196785	-0.992	0.86	3.74829e-014	0.00101	0.76	0.00044835	0.49	4	0.197856	0.197856	0.348837	0.348837	1	950	34	0	1	190	0.066106	0.000112088	4	6	0	0
4181	5.27363	0.184577	-0.388	0.22	3.51576e-014	0.04301	0.71	0.000272457	0.85	1	0.185582	0.185582	0.298019	0.298019	0	450	35	0	4	90	0.0454973	6.81143e-005	1	7	0	0
22122	5.90824	0.206788	-0.341	0.743	3.93883e-014	0.00201	0.43	0.000251884	0.2	1	0.207914	0.207914	0.329002	0.329002	1	400	36	0	3	80	0.0428952	6.29709e-005	4	5	0	0
6503	1.6236	0.0568261	-0.088	0.537	1.0824e-014	0.02001	0.81	0.00985866	0.39	1	0.0571354	0.0571354	0.114861	0.114861	0	98000	37	0	2	19600	4.03429	0.00246467	3	7	0	0
4253	1.7245	0.0603575	-0.039	0.784	1.14967e-014	0.03601	0.6	0.00839463	0.09	2	0.0606861	0.0606861	0.214588	0.214588	0	77000	38	0	2	15400	0.331155	0.00209866	2	1	0	0
14906	3.56947	0.124931	-0.703	0.201	2.37965e-014	0.03001	0.81	0.000389764	0.73	2	0.125612	0.125612	0.215724	0.215724	0	770	39	0	7	154	0.0595147	9.74409e-005	3	4	0	0
15605	0.784274	0.0274496	-0.244	0.465	5.2285e-015	0.03101	0.68	0.254412	0.83	1	0.027599	0.027599	0.391005	0.391005	0	1.8e+006	40	0	2	360000	0.0300417	0.0636029	4	6	0	0
22644	2.41304	0.0844566	-0.392	0.615	1.6087e-014	0.04601	0.77	0.00427703	0.56	2	0.0849163	0.0849163	0.22853	0.22853	0	28000	41	0	1	5600	0.358887	0.00106926	4	3	0	0
376	2.23153	0.0781037	651	0.523	1.48769e-014	0.02301	0.43	0.00215311	0.11	4	0.0785289	0.0785289	0.185817	0.185817	0	10000	42	0	5	2000	0.214476	0.000538278	3	3	0	0
300	0.602812	0.0210984	-0.743	0.286	4.01874e-015	0.03101	0.57	1.00304	0.3	2	0.0212133	0.0212133	0.438898	0.438898	0	1e+007	43	0	0	2e+006	0.036693	0.25076	2	7	0	0
13281	0.408247	0.0142887	-0.726	0.287	2.72165e-015	0.02801	0.54	0.529528	0.15	3	0.0143664	0.0143664	0.109389	0.109389	0	4.5e+006	44	0	7	900000	0.900171	0.132382	3	2	0	0
8542	2.01562	0.0705468	-0.127	0.228	1.34375e-014	0.01401	0.56	0.00861125	0.08	1	0.0709308	0.0709308	0.407185	0.407185	0	80000	45	0	0	16000	0.0495303	0.00215281	3	6	0	0
1346	0.600515	0.021018	441	0.785	4.00344e-015	0.03901	0.95	0.779789	0.42	4	0.0211325	0.0211325	0.227414	0.227414	0	7.3e+006	46	0	1	1.46e+006	0.365982	0.194947	2	7	0	0
30516	5.94602	0.208111	-0.4	0.881	3.96401e-014	1e-005	0.38	9.99693e-005	0.91	1	0.209244	0.209244	0.278426	0.278426	0	100	47	0	7	20	0.0214476	2.49923e-005	3	6	0	0
25768	1.62334	0.0568167	-0.097	0.758	1.08222e-014	0.04001	0.91	0.00318589	0.06	2	0.057126	0.057126	0.145479	0.145479	0	18000	48	0	7	3600	0.28775	0.000796473	1	4	0	0
227	0.443669	0.0155284	-0.619	0.912	2.95779e-015	0.01101	0.42	0.70188	0.73	3	0.0156129	0.0156129	0.319312	0.319312	0	6.4e+006	49	0	5	1.28e+006	0.024596	0.17547	1	6	0	0
12008	0.839192	0.0293717	-0.109	0.712	5.59461e-015	0.04701	0.58	0.0913051	0.62	3	0.0295316	0.0295316	0.225015	0.225015	0	500000	50	0	5	100000	0.0997418	0.0228263	2	3	0	0
799	1.53199	0.0536195	-0.492	0.468	1.02132e-014	0.03601	0.79	0.00467519	0.1	1	0.0539114	0.0539114	0.14753	0.14753	0	32000	51	0	6	6400	0.383667	0.0011688	3	7	0	0
8409	0.334369	0.0117029	-0.992	0.633	2.22913e-015	0.04501	0.45	1.00304	0.64	1	0.0117666	0.0117666	0.055696	0.055696	0	1e+007	52	0	7	2e+006	13.3943	0.25076	2	5	0	0
9629	4.38663	0.153532	-0.999	0.536	2.92442e-014	0.01601	0.97	0.000445198	0.27	4	0.154368	0.154368	0.271803	0.271803	1	940	53	0	4	188	0.0657571	0.0001113	2	3	0	0
9943	0.578096	0.0202334	-0.336	0.784	3.85397e-015	0.01001	0.58	0.880753	0.52	4	0.0203435	0.0203435	0.322716	0.322716	0	8.5e+006	54	0	1	1.7e+006	0.0902501	0.220188	1	3	0	0
11245	9.43104	0.330086	-0.022	0.996	6.28736e-014	0.04601	0.58	0.000112888	0.7	3	0.331883	0.331883	0.451794	0.451794	1	120	55	0	1	24	0.0234947	2.82221e-005	2	3	0	0
23004	0.553812	0.0193834	-0.322	0.789	3.69208e-015	0.00301	0.42	0.452773	0.63	1	0.019489	0.019489	0.107332	0.107332	0	3.7e+006	56	0	4	740000	2.70426	0.113193	3	2	0	0
4137	0.7459	0.0261065	-0.459	0.285	4.97267e-015	0.01901	0.59	0.298715	0.6	2	0.0262486	0.0262486	0.126941	0.126941	0	2.2e+006	57	0	2	440000	2.70426	0.0746788	2	7	0	0
17181	2.06126	0.072144	-0.826	0.47	1.37417e-014	0.01701	0.93	0.00417459	0.31	1	0.0725367	0.0725367	0.194328	0.194328	0	27000	58	0	3	5400	0.35242	0.00104365	2	4	0	0
5193	0.402739	0.0140959	900	0.672	2.68493e-015	0.03201	0.71	0.728079	0.34	2	0.0141726	0.0141726	0.156935	0.156935	0	6.7e+006	59	0	6	1.34e+006	0.299641	0.18202	2	5	0	0
22647	1.51305	0.0529566	-0.569	0.332	1.0087e-014	0.04701	0.4	0.00952045	0.37	2	0.0532449	0.0532449	0.157607	0.157607	0	93000	60	0	3	18600	0.814509	0.00238011	4	7	0	0
23606	1.49805	0.0524316	-0.59	0.337	9.98698e-015	0.02001	0.51	0.00496298	0.24	3	0.0527171	0.0527171	0.145887	0.145887	0	35000	61	0	6	7000	0.401248	0.00124074	4	2	0	0
5743	1.60297	0.0561038	-0.908	0.378	1.06864e-014	0.04701	0.74	0.0438675	0.2	2	0.0564092	0.0564092	0.10041	0.10041	0	200000	62	0	0	40000	13.3943	0.0109669	1	6	0	0
26161	1.9543	0.0684005	-0.056	0.212	1.30287e-014	0.02801	0.56	0.00306679	0.07	1	0.0687729	0.0687729	0.173892	0.173892	0	17000	63	0	5	3400	0.279643	0.000766697	1	6	0	0
24976	4.1786	0.146251	-0.683	0.906	2.78573e-014	0.03001	0.86	0.000256064	0.24	3	0.147047	0.147047	0.233406	0.233406	1	410	64	0	7	82	0.0434281	6.4016e-005	1	6	0	0
7212	1.49534	0.0523371	-0.462	0.323	9.96896e-015	0.03201	0.93	0.00396582	0.03	2	0.052622	0.052622	0.139626	0.139626	0	25000	65	0	7	5000	0.339116	0.000991456	3	5	0	0
18184	1.83902	0.0643655	-0.324	0.518	1.22601e-014	0.02601	0.94	0.00882519	0.42	4	0.0647159	0.0647159	0.156299	0.156299	0	83000	66	0	1	16600	1.64022	0.0022063	4	6	0	0
4094	0.517434	0.0181102	-0.784	0.752	3.44956e-015	0.04901	0.99	0.962715	0.92	4	0.0182088	0.0182088	0.231301	0.231301	0	9.5e+006	67	0	2	1.9e+006	0.245325	0.240679	1	3	0	0
24668	5.01559	0.175546	-0.761	0.835	3.34373e-014	0.04401	0.85	0.000311453	0.81	1	0.176501	0.176501	0.290637	0.290637	0	550	68	0	4	110	0.0502991	7.78632e-005	1	3	0	0
24400	1.12155	0.0392543	152	0.615	7.47701e-015	0.00701	0.79	0.00853935	0.89	4	0.039468	0.039468	0.269053	0.269053	0	79000	69	0	7	15800	0.024596	0.00213484	4	5	0	0
6340	0.830037	0.0290513	799	0.573	5.53358e-015	0.02801	0.6	0.276785	0.35	3	0.0292094	0.0292094	0.186191	0.186191	0	2e+006	70	0	1	400000	0.814509	0.0691963	2	7	0	0
29877	4.03124	0.141094	-0.634	0.362	2.6875e-014	0.00301	0.49	0.00135644	0.52	4	0.141862	0.141862	0.307817	0.307817	0	5000	71	0	0	1000	0.151658	0.00033911	4	6	0	0
27883	0.819974	0.0286991	-0.776	0.954	5.46649e-015	0.02501	0.46	0.287802	0.96	4	0.0288553	0.0288553	0.137934	0.137934	0	2.1e+006	72	0	1	420000	2.70426	0.0719506	4	3	0	0
7857	3.90057	0.13652	-0.38	0.781	2.60038e-014	0.04701	0.79	0.000307667	0.45	2	0.137263	0.137263	0.225507	0.225507	0	540	73	0	7	108	0.0498397	7.69166e-005	4	1	0	0
14270	0.72985	0.0255447	-0.692	0.653	4.86566e-015	0.00601	0.72	0.320249	0.25	4	0.0256838	0.0256838	0.0769935	0.0769935	0	2.4e+006	74	0	2	480000	19.982	0.0800623	4	7	0	0
5692	6.61408	0.231493	-0.963	0.254	4.40938e-014	0.00701	0.42	0.000362279	0.95	1	0.232753	0.232753	0.394283	0.394283	1	690	75	0	0	138	0.0563383	9.05698e-005	2	6	0	0
168	5.35201	0.18732	-0.325	0.447	3.568e-014	0.03201	0.52	0.000409755	0.99	1	0.18834	0.18834	0.326501	0.326501	0	830	76	0	2	166	0.06179	0.000102439	1	2	0	0
19325	4.79762	0.167917	-0.11	0.62	3.19842e-014	0.02401	0.78	0.000438862	0.91	4	0.168831	0.168831	0.296471	0.296471	1	920	77	0	3	184	0.0650538	0.000109715	1	3	0	0
9222	3.70971	0.12984	-0.055	0.22	2.47314e-014	0.01501	0.86	0.000351702	0.62	1	0.130547	0.130547	0.219921	0.219921	0	660	78	0	7	132	0.0550999	8.79255e-005	2	2	0	0
20994	8.64455	0.302559	-0.75	0.471	5.76304e-014	0.04101	0.48	0.000142391	0.33	2	0.304207	0.304207	0.432545	0.432545	1	170	79	0	1	34	0.0279643	3.55979e-005	3	2	0	0
8382	0.488743	0.017106	-0.047	0.727	3.25829e-015	0.02801	0.69	0.675434	0.91	3	0.0171991	0.0171991	0.356354	0.356354	0	6.1e+006	80	0	4	1.22e+006	0.0222554	0.168858	3	1	0	0
12093	2.6903	0.0941604	479	0.989	1.79353e-014	0.04801	0.36	0.00256461	0.34	3	0.094673	0.094673	0.231487	0.231487	0	13000	81	0	2	2600	0.24454	0.000641152	3	1	0	0
5425	3.79479	0.132818	325	0.573	2.52986e-014	0.02001	0.74	0.00041631	0.85	3	0.133541	0.133541	0.232192	0.232192	1	850	82	0	6	170	0.06253	0.000104078	2	3	0	0
12509	1.2638	0.0442329	-0.711	0.763	8.42531e-015	0.02001	0.65	0.00621085	0.58	1	0.0444737	0.0444737	0.128361	0.128361	0	49000	83	0	7	9800	0.474763	0.00155271	2	2	0	0
18297	5.03866	0.176353	-0.589	0.689	3.3591e-014	0.03801	0.46	0.000307667	0.66	2	0.177313	0.177313	0.291304	0.291304	1	540	84	0	4	108	0.0498397	7.69166e-005	2	3	0	0
23033	5.24474	0.183566	-0.581	0.303	3.49649e-014	1e-005	0.86	0.000276478	0.69	4	0.184565	0.184565	0.297202	0.297202	1	460	85	0	4	92	0.046	6.91196e-005	3	7	0	0
29222	1.82791	0.0639767	767	0.429	1.2186e-014	0.02001	0.85	0.00718733	0.96	2	0.064325	0.064325	0.362753	0.362753	0	61000	86	0	2	12200	0.040552	0.00179683	1	7	0	0
30479	1.68673	0.0590356	-0.225	0.935	1.12449e-014	0.04701	0.7	0.00569294	0.24	3	0.059357	0.059357	0.168544	0.168544	0	43000	87	0	4	8600	0.444747	0.00142324	3	4	0	0
19414	3.0542	0.106897	-0.915	0.737	2.03614e-014	0.02001	0.69	0.00116896	0.86	4	0.107479	0.107479	0.226798	0.226798	0	4000	88	0	4	800	0.135647	0.00029224	1	1	0	0
11998	5.68108	0.198838	-0.884	0.82	3.78739e-014	0.04601	0.83	0.000112888	0.46	4	0.19992	0.19992	0.272152	0.272152	0	120	89	0	7	24	0.0234947	2.82221e-005	4	5	0	0
23465	5.83661	0.204281	-0.241	0.544	3.89107e-014	0.03701	0.56	0.00026021	0.94	1	0.205393	0.205393	0.327002	0.327002	1	420	90	0	3	84	0.0439545	6.50526e-005	1	5	0	0
15583	4.73724	0.165803	-0.589	0.901	3.15816e-014	0.02001	0.37	0.000230432	0.52	4	0.166706	0.166706	0.259428	0.259428	1	350	91	0	6	70	0.0401248	5.76079e-005	3	7	0	0
16380	1.27837	0.0447429	-0.465	0.399	8.52246e-015	0.03501	0.71	0.00757486	0.06	2	0.0449865	0.0449865	0.0975955	0.0975955	0	66000	92	0	6	13200	2.00337	0.00189372	1	6	0	0
27636	3.97634	0.139172	-0.258	0.58	2.65089e-014	0.00801	0.47	0.000292281	0.89	3	0.13993	0.13993	0.227687	0.227687	1	500	93	0	7	100	0.0479583	7.30702e-005	3	4	0	0
9521	7.82505	0.273877	-0.817	0.278	5.2167e-014	0.02401	0.57	0.000119075	0.03	4	0.275368	0.275368	0.378628	0.378628	0	130	94	0	3	26	0.024454	2.97688e-005	1	4	0	0
28779	4.31171	0.15091	-0.299	0.282	2.87447e-014	0.00901	0.82	0.000296164	0.11	3	0.151731	0.151731	0.247502	0.247502	1	510	95	0	6	102	0.0484355	7.40411e-005	4	6	0	0
10618	4.82912	0.169019	-0.702	0.762	3.21941e-014	0.02801	0.92	0.000344561	0.4	3	0.169939	0.169939	0.285183	0.285183	0	640	96	0	4	128	0.0542586	8.61403e-005	4	3	0	0
18015	4.81044	0.168365	911	0.254	3.20696e-014	0.00501	0.47	0.000348141	0.62	1	0.169282	0.169282	0.284631	0.284631	1	650	97	0	4	130	0.0546809	8.70352e-005	4	5	0	0
25482	4.49026	0.157159	-0.604	0.89	2.9935e-014	0.02401	0.9	0.000333709	0.92	1	0.158015	0.158015	0.263585	0.263585	0	610	98	0	5	122	0.0529717	8.34272e-005	3	7	0	0
11435	1.15224	0.0403283	-0.788	0.592	7.68159e-015	0.00101	0.89	0.00999233	0.1	1	0.0405479	0.0405479	0.222701	0.222701	0	100000	99	0	6	20000	0.0738906	0.00249808	1	4	0	0
8258	1.68824	0.0590885	-0.476	0.453	1.1255e-014	0.01601	0.37	0.00710857	0.49	4	0.0594102	0.0594102	0.119714	0.119714	0	60000	100	0	3	12000	2.44692	0.00177714	4	6	0	0
1480	1.70211	0.0595738	648	0.727	1.13474e-014	0.03201	0.83	0.00353068	0.62	4	0.0598981	0.0598981	0.155506	0.155506	0	21000	101	0	6	4200	0.310805	0.000882669	2	3	0	0
31931	0.574745	0.0201161	-0.091	0.485	3.83163e-015	0.01001	0.67	0.897293	0.07	1	0.0202256	0.0202256	0.17711	0.17711	0	8.7e+006	102	0	1	1.74e+006	0.994843	0.224323	2	6	0	0
28539	3.51377	0.122982	-0.62	0.92	2.34251e-014	0.04801	0.76	0.000406457	0.4	1	0.123651	0.123651	0.214034	0.214034	1	820	103	0	7	164	0.0614166	0.000101614	1	3	0	0
20200	5.16255	0.180689	-0.095	0.956	3.4417e-014	0.01201	0.57	0.000288371	0.77	3	0.181673	0.181673	0.294864	0.294864	1	490	104	0	4	98	0.0474763	7.20927e-005	3	4	0	0
24225	2.16494	0.0757729	-0.169	0.834	1.44329e-014	0.01201	0.37	0.00457729	0.82	4	0.0761854	0.0761854	0.207658	0.207658	0	31000	105	0	2	6200	0.377624	0.00114432	1	1	0	0
26739	0.470542	0.016469	-0.578	0.799	3.13695e-015	0.04301	0.92	0.762651	0.66	4	0.0165586	0.0165586	0.121623	0.121623	0	7.1e+006	106	0	4	1.42e+006	1.64022	0.190663	4	7	0	0
31571	9.32665	0.326433	643	0.966	6.21776e-014	0.00801	0.88	9.3189e-005	0.84	4	0.32821	0.32821	0.431011	0.431011	0	90	107	0	2	18	0.020347	2.32973e-005	3	2	0	0
31393	0.40856	0.0142996	-0.348	0.948	2.72374e-015	0.01201	0.64	0.913757	0.11	1	0.0143775	0.0143775	0.0568928	0.0568928	0	8.9e+006	108	0	5	1.78e+006	24.406	0.228439	1	3	0	0
15311	4.9227	0.172295	-0.789	0.989	3.2818e-014	0.03101	0.66	0.000409755	0.18	3	0.173233	0.173233	0.300311	0.300311	1	830	109	0	3	166	0.06179	0.000102439	2	3	0	0
24997	3.65286	0.12785	-0.323	0.39	2.43524e-014	0.01501	0.75	0.000460847	0.12	2	0.128546	0.128546	0.227809	0.227809	1	990	110	0	6	198	0.0674833	0.000115212	1	6	0	0
30857	1.2014	0.0420491	-0.079	0.852	8.00935e-015	0.02601	0.67	0.00710857	0.41	1	0.042278	0.042278	0.0516716	0.0516716	0	60000	111	0	7	12000	18.0804	0.00177714	3	2	0	0
26970	6.38396	0.223439	-0.253	0.785	4.25597e-014	0.01901	0.9	0.000256064	0.48	2	0.224655	0.224655	0.356592	0.356592	0	410	112	0	2	82	0.0434281	6.4016e-005	4	2	0	0
21037	6.1088	0.213808	-0.869	0.294	4.07253e-014	0.00901	0.9	0.000230432	0.39	3	0.214972	0.214972	0.33454	0.33454	1	350	113	0	3	70	0.0401248	5.76079e-005	4	1	0	0
12597	0.587188	0.0205516	-0.546	0.469	3.91459e-015	0.02101	0.84	0.491525	0.12	4	0.0206635	0.0206635	0.218134	0.218134	0	4.1e+006	114	0	3	820000	0.22198	0.122881	4	3	0	0
30523	0.628715	0.022005	-0.499	0.269	4.19143e-015	0.02001	0.5	0.132981	0.3	1	0.0221248	0.0221248	0.0790364	0.0790364	0	800000	115	0	7	160000	3.303	0.0332453	4	6	0	0
2517	1.58795	0.0555783	-0.838	0.769	1.05864e-014	0.04901	0.91	0.00533421	0.3	4	0.0558809	0.0558809	0.156749	0.156749	0	39000	116	0	5	7800	0.423556	0.00133355	4	1	0	0
16479	1.43995	0.0503981	-0.179	0.203	9.59964e-015	0.01001	0.66	0.00551504	0.6	4	0.0506725	0.0506725	0.14303	0.14303	0	41000	117	0	6	8200	0.434281	0.00137876	4	3	0	0
26771	6.01569	0.210549	893	0.483	4.01046e-014	0.00801	0.83	0.000300023	0.23	4	0.211695	0.211695	0.346153	0.346153	1	520	118	0	2	104	0.0489081	7.50057e-005	3	4	0	0
30564	4.20917	0.147321	-0.06	0.432	2.80612e-014	0.03701	0.56	0.000396483	0.47	3	0.148123	0.148123	0.255201	0.255201	0	790	119	0	5	158	0.0602827	9.91208e-005	3	5	0	0
19378	3.91884	0.137159	-0.15	0.4	2.61256e-014	0.02201	0.9	0.000303857	0.44	3	0.137906	0.137906	0.226034	0.226034	0	530	120	0	7	106	0.0493761	7.59642e-005	3	5	0	0
10941	6.1088	0.213808	-0.374	0.89	4.07253e-014	0.04301	0.47	0.000230432	0.42	4	0.214972	0.214972	0.33454	0.33454	0	350	121	0	3	70	0.0401248	5.76079e-005	1	5	0	0
13627	0.356947	0.0124931	-0.699	0.698	2.37965e-015	0.00701	0.96	0.813788	0.23	4	0.0125612	0.0125612	0.275864	0.275864	0	7.7e+006	122	0	7	1.54e+006	0.0222554	0.203447	1	2	0	0
199	0.613848	0.0214847	-0.964	0.745	4.09232e-015	0.02201	0.54	0.946467	0.67	1	0.0216016	0.0216016	0.149795	0.149795	0	9.3e+006	123	0	0	1.86e+006	2.70426	0.236617	4	6	0	0
27792	3.46215	0.121175	-0.325	0.335	2.3081e-014	0.00701	0.99	0.000422815	0.33	3	0.121835	0.121835	0.212456	0.212456	1	870	124	0	7	174	0.0632614	0.000105704	1	7	0	0
21431	1.77467	0.0621136	561	0.913	1.18312e-014	0.03801	0.65	0.00396582	0.88	4	0.0624518	0.0624518	0.165708	0.165708	0	25000	125	0	5	5000	0.339116	0.000991456	3	7	0	0
7290	2.29109	0.0801883	-0.871	0.633	1.5274e-014	0.01001	0.62	0.00200708	0.35	1	0.0806249	0.0806249	0.188281	0.188281	0	9000	126	0	5	1800	0.20347	0.00050177	1	7	0	0
15154	1.42252	0.0497882	-0.648	0.688	9.48347e-015	0.02401	0.89	0.00896638	0.23	2	0.0500592	0.0500592	0.137817	0.137817	0	85000	127	0	4	17000	0.994843	0.0022416	3	7	0	0
